run,Latitude,Longitude,ABS_latit,log2sum_RPKM,SMN30cm_1,haiba,totP,cec_0.30_mean,nitrogen_0.30_mean,phh2o_0.30_mean,annual_solar_radiation,annual_average_temp,geo_continent,geo_loc_me5,geo_loc_me,RPKM_16S,log2_RPKM_16S,sum-RPKM,CN30cm_1,SMC30cm_1,annual_average_prec,labP,orgP,soc_0.30_mean
SRR10360627,39.5673,-123.4758,39.5673,10.23417077,22.22369957,730,532.3766479,216.2688649,273.9069722,5.8,189260,11.64800008,North America,North America,USA:California,811.912,9.665179558,1204.46,6.369416714,141.552002,1487,27.95848846,99.73036957,422.0444336
SRR10360628,39.5673,-123.4758,39.5673,10.27041214,22.22369957,730,532.3766479,216.2688649,273.9069722,5.8,189260,11.64800008,North America,North America,USA:California,750.053,9.550848732,1235.1,6.369416714,141.552002,1487,27.95848846,99.73036957,422.0444336
SRR10360629,39.5673,-123.4758,39.5673,10.30681361,22.22369957,730,532.3766479,216.2688649,273.9069722,5.8,189260,11.64800008,North America,North America,USA:California,885.21,9.789875939,1266.66,6.369416714,141.552002,1487,27.95848846,99.73036957,422.0444336
SRR10360630,39.5673,-123.4758,39.5673,11.17863996,22.22369957,730,532.3766479,216.2688649,273.9069722,5.8,189260,11.64800008,North America,North America,USA:California,664.997,9.377204022,2317.96,6.369416714,141.552002,1487,27.95848846,99.73036957,422.0444336
SRR10360631,39.5673,-123.4758,39.5673,11.31542132,22.22369957,730,532.3766479,216.2688649,273.9069722,5.8,189260,11.64800008,North America,North America,USA:California,559.294,9.127463043,2548.48,6.369416714,141.552002,1487,27.95848846,99.73036957,422.0444336
SRR10360632,39.7279,-123.6444,39.7279,10.38714494,17.73430061,572,370.8750305,221.2753601,477.6688131,5.70492808,187430,11.42000024,North America,North America,USA:California,683.221,9.416208509,1339.19,5.212356567,92.4375,1613,25.62075424,97.24111176,881.5835927
SRR10360633,39.7279,-123.6444,39.7279,10.64262035,17.73430061,572,370.8750305,221.2753601,477.6688131,5.70492808,187430,11.42000024,North America,North America,USA:California,754.277,9.558950625,1598.63,5.212356567,92.4375,1613,25.62075424,97.24111176,881.5835927
SRR10360634,39.7279,-123.6444,39.7279,10.62111779,17.73430061,572,370.8750305,221.2753601,477.6688131,5.70492808,187430,11.42000024,North America,North America,USA:California,639.529,9.320865971,1574.98,5.212356567,92.4375,1613,25.62075424,97.24111176,881.5835927
SRR10360635,39.7279,-123.6444,39.7279,10.94509995,17.73430061,572,370.8750305,221.2753601,477.6688131,5.70492808,187430,11.42000024,North America,North America,USA:California,717.993,9.487825968,1971.53,5.212356567,92.4375,1613,25.62075424,97.24111176,881.5835927
SRR10360636,39.7279,-123.6444,39.7279,10.58425789,17.73430061,572,370.8750305,221.2753601,477.6688131,5.70492808,187430,11.42000024,North America,North America,USA:California,734.208,9.520045024,1535.25,5.212356567,92.4375,1613,25.62075424,97.24111176,881.5835927
SRR10360637,39.7393,-123.6309,39.7393,10.87560346,17.73430061,572,370.8750305,222.1352132,494.5514476,5.775642522,187430,11.42000024,North America,North America,USA:California,1004.5,9.972261849,1878.81,5.212356567,92.4375,1613,25.62075424,97.24111176,704.665685
SRR10360638,39.7279,-123.6444,39.7279,10.57033959,17.73430061,572,370.8750305,221.2753601,477.6688131,5.70492808,187430,11.42000024,North America,North America,USA:California,672.413,9.393203807,1520.51,5.212356567,92.4375,1613,25.62075424,97.24111176,881.5835927
SRR10360639,39.7292,-123.6419,39.7292,11.50568752,17.73430061,572,370.8750305,221.2753601,477.6688131,5.70492808,187430,11.42000024,North America,North America,USA:California,1513.87,10.56402561,2907.75,5.212356567,92.4375,1613,25.62075424,97.24111176,881.5835927
SRR10360640,39.7292,-123.6419,39.7292,11.2139001,17.73430061,572,370.8750305,221.2753601,477.6688131,5.70492808,187430,11.42000024,North America,North America,USA:California,1355.93,10.40506699,2375.31,5.212356567,92.4375,1613,25.62075424,97.24111176,881.5835927
SRR10360641,39.7292,-123.6419,39.7292,11.13015867,17.73430061,572,370.8750305,221.2753601,477.6688131,5.70492808,187430,11.42000024,North America,North America,USA:California,1327.42,10.3744092,2241.36,5.212356567,92.4375,1613,25.62075424,97.24111176,881.5835927
SRR10360642,39.7292,-123.6419,39.7292,11.00980063,17.73430061,572,370.8750305,221.2753601,477.6688131,5.70492808,187430,11.42000024,North America,North America,USA:California,1540.06,10.58877084,2061.96,5.212356567,92.4375,1613,25.62075424,97.24111176,881.5835927
SRR10360643,39.7292,-123.6419,39.7292,11.03529399,17.73430061,572,370.8750305,221.2753601,477.6688131,5.70492808,187430,11.42000024,North America,North America,USA:California,1313.18,10.35884897,2098.72,5.212356567,92.4375,1613,25.62075424,97.24111176,881.5835927
SRR10360644,39.7292,-123.6419,39.7292,10.93466392,17.73430061,572,370.8750305,221.2753601,477.6688131,5.70492808,187430,11.42000024,North America,North America,USA:California,900.671,9.8148564,1957.32,5.212356567,92.4375,1613,25.62075424,97.24111176,881.5835927
